Year,Team,off_G,off_PA,off_HR,off_R,off_RBI,off_SB,off_BB%,off_K%,off_ISO,off_BABIP,off_AVG,off_OBP,off_SLG,off_wOBA,off_wRC+,off_BsR,off_Off,off_Def,off_WAR,pit_W,pit_L,pit_SV,pit_G,pit_GS,pit_IP,pit_R,pit_K/9,pit_BB/9,pit_HR/9,pit_BABIP,pit_LOB%,pit_GB%,pit_HR/FB,pit_ERA,pit_FIP,pit_xFIP,pit_WAR,def_Inn,def_rSB,def_rGDP,def_rARM,def_rGFP,def_rPM,def_DRS,def_BIZ,def_Plays,def_RZR,def_OOZ,def_CPP,def_RPP,def_TZL,def_FSR,def_ARM,def_DPR,def_RngR,def_ErrR,def_UZR,def_UZR/150,def_Def,lgID,teamID,G,W,L,DivWin,WCWin,LgWin,WSWin,playoffs
1979,Angels,1667,6311,164,866,808,100,0.093,0.134,0.148,0.304,0.282,0.351,0.429,0.347,113,0.7,102.0,-68.2,24.9,88,74,33,371,162,1436.0,768,5.14,3.59,0.82,0.286,0.69,,,4.34,4.04,,15.1,,,,,,,,,,,,,,,,,,,,,,,AL,CAL,162,88,74,Y,,N,N,True
1984,Padres,2132,6119,109,686,629,152,0.077,0.132,0.112,0.284,0.259,0.317,0.371,0.308,95,3.2,-32.5,70.1,24.9,92,70,44,447,162,1460.1,634,5.0,3.47,0.75,0.26,0.734,,,3.48,3.94,,7.7,,,,,,,,,,,,,,,,,,,,,,,NL,SDN,162,92,70,Y,,Y,N,True
1984,Blue Jays,1913,6286,143,750,702,193,0.073,0.13,0.148,0.296,0.273,0.331,0.421,0.335,103,11.8,35.3,4.0,24.9,89,73,33,419,163,1464.0,696,5.38,3.25,0.86,0.278,0.722,,,3.87,3.97,,15.8,,,,,,,,,,,,,,,,,,,,,,,AL,Blue Jays,163,89,73,N,,N,N,False
2009,Brewers,2321,6296,182,785,757,68,0.097,0.196,0.164,0.305,0.263,0.341,0.426,0.336,103,-9.6,10.2,36.5,24.9,80,82,44,674,162,1435.0,818,6.92,3.81,1.3,0.295,0.719,0.426,12.0 %,4.84,4.84,4.54,5.4,12915.0,-2.0,0.0,-12.0,-3.0,7.0,-18.0,2375.0,2014.0,0.848,377.0,75.0,2.5,,10.0,-8.8,1.1,13.8,-6.9,-0.8,-1.5,-0.4,NL,Brewers,162,80,82,N,N,N,N,False
1998,Orioles,2017,6304,214,817,783,86,0.094,0.143,0.174,0.291,0.273,0.347,0.447,0.347,109,-3.8,66.0,-29.3,24.9,79,83,37,564,162,1431.1,785,6.7,3.36,1.06,0.304,0.704,,,4.74,4.4,,16.2,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,162,79,83,N,N,N,N,False
1954,Giants,1948,5928,186,732,700,30,0.088,0.095,0.16,0.264,0.264,0.332,0.424,0.345,96,1.1,-31.7,88.2,24.9,97,57,33,389,154,1390.0,550,4.48,3.97,0.73,0.255,0.776,,,3.09,3.86,,15.8,,,,,,,,,,,,,,,,,,,,,,,NL,NY1,154,97,57,,,Y,Y,False
1978,Reds,2241,6190,136,709,669,137,0.103,0.145,0.138,0.282,0.256,0.334,0.393,0.328,103,5.9,24.1,3.8,24.9,92,69,46,460,161,1448.0,688,5.64,3.52,0.76,0.285,0.721,,,3.82,3.64,,12.5,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,161,92,69,N,,N,N,False
1988,Reds,2127,6063,122,641,588,207,0.079,0.152,0.122,0.273,0.246,0.309,0.368,0.303,91,15.7,-45.4,93.4,24.8,87,74,43,504,161,1455.0,596,5.78,3.12,0.75,0.26,0.739,,,3.35,3.66,,13.8,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,161,87,74,N,,N,N,False
1963,White Sox,2018,6242,114,683,648,64,0.091,0.144,0.114,0.279,0.25,0.323,0.365,0.309,98,4.4,-13.5,77.5,24.8,94,68,39,373,162,1469.0,544,5.71,2.7,0.61,0.266,0.754,,,2.97,3.06,,22.7,,,,,,,,,,,,,,,,,,,,,,,AL,CHA,162,94,68,,,N,N,False
1979,Rangers,1860,6194,140,750,718,79,0.074,0.098,0.13,0.289,0.278,0.334,0.409,0.33,101,-2.8,3.8,35.6,24.8,83,79,42,379,162,1437.0,698,4.84,3.33,0.85,0.267,0.708,,,3.86,4.05,,15.4,,,,,,,,,,,,,,,,,,,,,,,AL,Rangers,162,83,79,N,,N,N,False
1996,Cardinals,2258,6177,142,759,711,149,0.08,0.176,0.14,0.307,0.267,0.33,0.407,0.322,93,2.2,-55.0,121.8,24.8,88,74,43,575,162,1452.1,706,6.51,3.34,1.07,0.275,0.729,,,3.98,4.46,,11.9,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,162,88,74,Y,N,N,N,True
1972,Orioles,1862,5676,100,519,483,78,0.089,0.165,0.11,0.261,0.229,0.302,0.339,0.294,93,2.2,-38.8,109.9,24.8,80,74,21,321,154,1371.2,430,5.17,2.59,0.56,0.245,0.779,,,2.54,2.95,,17.0,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,154,80,74,N,,N,N,False
2012,Expos/Nationals,2338,6221,194,731,688,105,0.077,0.213,0.166,0.308,0.261,0.322,0.428,0.324,101,-4.6,4.2,39.3,24.8,98,64,51,644,162,1468.1,594,8.12,3.05,0.79,0.282,0.751,0.463,9.2 %,3.34,3.54,3.8,19.3,13215.0,-3.0,3.0,1.0,-2.0,-10.0,-15.0,2193.0,1832.0,0.835,459.0,86.0,1.0,,23.0,3.3,1.0,-2.1,3.8,6.1,1.5,-3.0,NL,WAS,162,98,64,Y,N,N,N,True
1938,Red Sox,1656,6003,98,902,860,55,0.108,0.077,0.135,0.314,0.299,0.378,0.434,0.376,100,-14.0,-12.7,39.9,24.8,88,61,15,297,150,1316.1,751,3.31,3.61,0.7,0.29,0.676,,,4.46,4.45,,17.3,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,150,88,61,,,N,N,False
1984,Red Sox,1716,6251,181,810,767,38,0.08,0.135,0.158,0.303,0.283,0.341,0.441,0.347,111,-2.8,78.5,-42.7,24.8,86,76,32,363,162,1442.0,764,5.79,3.23,0.88,0.297,0.698,,,4.19,3.89,,15.5,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,162,86,76,N,,N,N,False
2012,Rangers,2236,6216,200,808,780,91,0.077,0.177,0.173,0.306,0.273,0.334,0.446,0.336,106,-5.1,40.2,-10.1,24.8,93,69,43,590,162,1442.0,707,8.03,2.78,1.09,0.292,0.715,0.439,11.6 %,4.02,3.9,3.86,20.7,12978.0,-7.0,3.0,1.0,-4.0,8.0,-5.0,2126.0,1742.0,0.819,495.0,62.0,-2.2,,33.0,-3.1,3.1,16.0,-2.3,13.7,1.4,0.5,AL,Rangers,162,93,69,N,Y,N,N,True
1954,Cardinals,2053,6127,119,799,748,63,0.095,0.096,0.14,0.294,0.281,0.35,0.421,0.352,100,-1.1,-4.0,51.6,24.7,72,81,18,415,153,1390.1,790,4.4,3.46,1.1,0.281,0.698,,,4.5,4.26,,10.7,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,154,72,82,,,N,N,False
1965,Orioles,2032,6138,125,641,596,67,0.086,0.148,0.124,0.264,0.238,0.307,0.363,0.299,92,2.0,-56.6,108.6,24.7,94,68,41,390,162,1477.2,578,5.72,3.11,0.73,0.255,0.749,,,2.98,3.39,,16.2,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,162,94,68,,,N,N,False
2004,Red Sox,2417,6515,222,949,912,68,0.101,0.183,0.19,0.319,0.282,0.36,0.472,0.358,114,-17.1,97.9,-66.6,24.7,98,64,36,599,162,1451.1,768,7.02,2.77,0.99,0.289,0.688,0.454,9.9 %,4.19,4.03,4.17,20.6,13062.0,-4.0,-7.0,-7.0,-7.0,9.0,-26.0,2654.0,1936.0,0.73,436.0,,,,,-10.2,-7.2,-21.8,-7.7,-46.9,-8.8,-59.9,AL,Red Sox,162,98,64,N,Y,Y,Y,True
1984,Orioles,1957,6187,160,681,647,51,0.1,0.143,0.139,0.273,0.252,0.328,0.391,0.324,101,-4.1,4.5,37.6,24.7,85,77,32,370,162,1439.1,667,4.46,3.2,0.86,0.268,0.726,,,3.71,4.13,,13.1,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,162,85,77,N,,N,N,False
1961,Orioles,2065,6210,149,691,638,39,0.094,0.145,0.136,0.278,0.254,0.326,0.39,0.32,95,-2.4,-39.1,90.5,24.7,95,67,33,331,163,1471.1,588,5.66,3.77,0.67,0.25,0.747,,,3.22,3.6,,19.2,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,163,95,67,,,N,N,False
1928,Pirates,1664,6037,52,837,768,64,0.072,0.058,0.112,0.324,0.309,0.364,0.421,0.363,102,9.5,24.0,35.9,24.7,85,67,11,264,152,1354.0,704,2.56,2.96,0.44,0.275,0.661,,,3.95,4.01,,16.8,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,152,85,67,,,N,N,False
1980,Red Sox,1671,6200,162,757,717,79,0.077,0.116,0.153,0.299,0.283,0.34,0.436,0.345,106,-4.1,42.0,-12.5,24.7,83,77,43,398,160,1441.1,767,4.35,3.0,0.81,0.294,0.69,,,4.39,4.02,,15.8,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,160,83,77,N,,N,N,False
2004,Astros,2391,6271,187,804,756,89,0.094,0.159,0.169,0.293,0.267,0.342,0.436,0.336,98,10.0,-6.8,48.7,24.7,92,70,47,655,162,1443.0,698,8.0,3.27,1.09,0.299,0.743,0.442,11.9 %,4.05,4.07,3.95,20.7,12987.0,-3.0,-5.0,5.0,8.0,23.0,26.0,2244.0,1645.0,0.733,306.0,,,,,4.1,1.4,11.5,-4.3,12.6,2.7,6.6,NL,Astros,162,92,70,N,Y,N,N,True
1930,Cardinals,1750,6203,104,999,942,72,0.077,0.08,0.157,0.332,0.314,0.372,0.471,0.376,101,13.9,24.8,32.7,24.6,92,62,21,304,154,1380.2,784,4.17,3.1,0.57,0.311,0.665,,,4.39,4.48,,19.9,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,154,92,62,,,Y,N,False
1985,Tigers,1842,6223,202,729,703,75,0.085,0.149,0.17,0.269,0.253,0.318,0.424,0.326,103,-3.1,21.0,13.7,24.6,84,77,40,411,161,1456.0,688,5.83,3.44,0.87,0.262,0.711,,,3.8,3.84,,19.0,,,,,,,,,,,,,,,,,,,,,,,AL,Tigers,161,84,77,N,,N,N,False
1916,Dodgers,1657,5833,28,585,493,187,0.061,0.094,0.084,0.287,0.261,0.313,0.345,0.32,100,5.2,2.4,29.4,24.6,94,60,9,248,156,1427.1,467,4.0,2.35,0.15,0.253,0.725,,,2.12,2.51,,17.4,,,,,,,,,,,,,,,,,,,,,,,NL,BRO,156,94,60,,,Y,N,False
1959,White Sox,2018,6050,97,669,620,113,0.096,0.105,0.114,0.266,0.25,0.327,0.364,0.311,92,3.5,-52.2,120.1,24.6,94,60,36,398,156,1425.1,588,4.81,3.32,0.81,0.255,0.756,,,3.29,3.82,,13.9,,,,,,,,,,,,,,,,,,,,,,,AL,CHA,156,94,60,,,Y,N,False
1945,Dodgers,1841,6180,57,795,722,75,0.102,0.07,0.105,0.286,0.271,0.35,0.376,0.349,101,11.5,17.9,15.7,24.6,87,67,18,318,155,1392.1,720,3.6,3.79,0.48,0.266,0.671,,,3.7,3.77,,12.8,,,,,,,,,,,,,,,,,,,,,,,NL,BRO,155,87,67,,,N,N,False
1949,Indians,1839,5958,112,675,640,44,0.101,0.09,0.124,0.272,0.26,0.339,0.384,0.341,94,-9.3,-52.5,96.4,24.6,89,65,19,322,154,1383.2,574,3.86,3.97,0.53,0.261,0.743,,,3.36,3.78,,16.8,,,,,,,,,,,,,,,,,,,,,,,AL,Indians,154,89,65,,,N,N,False
1978,Red Sox,1600,6316,172,796,738,74,0.092,0.132,0.157,0.285,0.267,0.336,0.424,0.342,106,-4.0,36.4,-9.8,24.5,99,64,26,341,163,1472.2,657,4.31,2.84,0.84,0.282,0.747,,,3.54,3.85,,17.4,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,163,99,64,N,,N,N,False
1983,Brewers,1655,6240,132,764,732,101,0.076,0.107,0.141,0.292,0.277,0.333,0.418,0.333,109,-0.1,65.3,-35.8,24.5,87,75,43,373,162,1454.0,708,4.26,3.04,0.82,0.283,0.717,,,4.02,4.07,,10.2,,,,,,,,,,,,,,,,,,,,,,,AL,ML4,162,87,75,N,,N,N,False
1996,White Sox,1786,6497,195,898,860,105,0.108,0.143,0.166,0.303,0.281,0.36,0.447,0.352,106,0.9,55.0,-40.5,24.5,85,77,43,553,162,1461.0,794,6.4,3.79,1.07,0.298,0.716,,,4.53,4.64,,17.8,,,,,,,,,,,,,,,,,,,,,,,AL,CHA,162,85,77,N,N,N,N,False
1978,Tigers,1672,6299,129,714,666,90,0.089,0.11,0.12,0.288,0.271,0.339,0.392,0.332,103,4.2,27.8,-0.6,24.5,86,76,21,319,162,1455.2,653,4.23,3.11,0.83,0.273,0.741,,,3.67,3.96,,14.9,,,,,,,,,,,,,,,,,,,,,,,AL,Tigers,162,86,76,N,,N,N,False
2009,Red Sox,2317,6344,212,872,822,126,0.104,0.177,0.184,0.301,0.27,0.352,0.454,0.351,106,-7.7,40.7,-13.2,24.5,95,67,41,625,162,1436.2,736,7.71,3.32,1.05,0.309,0.73,0.409,9.4 %,4.35,4.14,4.25,17.8,12930.0,-10.0,3.0,-9.0,7.0,-32.0,-56.0,2232.0,1868.0,0.837,395.0,71.0,5.6,,-3.0,-4.5,3.3,-0.4,7.8,6.2,0.6,-12.3,AL,Red Sox,162,95,67,N,Y,N,N,True
2014,Blue Jays,2397,6167,177,723,690,78,0.081,0.187,0.155,0.295,0.259,0.323,0.414,0.325,107,0.8,45.7,-21.3,24.4,83,79,45,611,162,1443.0,686,7.48,3.06,0.94,0.294,0.727,0.429,9.4 %,4.0,3.97,3.99,11.6,12987.0,-3.0,1.0,11.0,5.0,-37.0,-25.0,2255.0,1847.0,0.819,489.0,91.0,4.9,,-35.0,8.3,-1.3,-14.1,0.4,-6.8,0.3,-8.8,AL,Blue Jays,162,83,79,N,N,N,N,False
1942,Giants,1736,5881,109,675,632,39,0.095,0.086,0.107,0.264,0.254,0.33,0.361,0.332,100,4.9,7.0,54.8,24.4,85,66,13,307,154,1370.0,601,3.26,3.24,0.62,0.256,0.72,,,3.31,3.69,,10.7,,,,,,,,,,,,,,,,,,,,,,,NL,NY1,154,85,67,,,N,N,False
1940,Tigers,1775,6182,134,888,829,66,0.107,0.089,0.156,0.299,0.286,0.366,0.442,0.37,103,-6.8,15.0,10.1,24.4,90,64,23,326,155,1375.1,716,4.92,3.73,0.67,0.289,0.693,,,3.99,3.99,,22.1,,,,,,,,,,,,,,,,,,,,,,,AL,Tigers,155,90,64,,,Y,N,False
2010,Red Sox,2327,6356,211,818,782,68,0.092,0.179,0.183,0.299,0.268,0.339,0.451,0.345,109,-7.2,59.7,-41.3,24.4,89,73,44,605,162,1456.2,744,7.46,3.58,0.94,0.292,0.709,0.436,9.0 %,4.19,4.08,4.13,15.5,13110.0,-5.0,0.0,9.0,-2.0,22.0,5.0,2285.0,1894.0,0.829,414.0,61.0,-2.7,,-1.0,-0.9,1.6,-15.8,-3.7,-18.8,-2.5,-39.4,AL,Red Sox,162,89,73,N,N,N,N,False
2000,Braves,2037,6273,178,809,757,148,0.095,0.161,0.157,0.302,0.271,0.346,0.428,0.339,95,4.6,-35.0,83.2,24.4,95,67,53,538,162,1440.1,714,6.83,3.02,1.03,0.288,0.719,,,4.06,4.19,,22.3,,,,,,,,,,,,,,,,,,,,,,,NL,Braves,162,95,67,Y,N,N,N,True
1989,Yankees,1733,6096,130,698,657,137,0.082,0.136,0.122,0.295,0.269,0.331,0.391,0.326,104,1.5,29.2,0.0,24.4,74,87,44,439,161,1414.2,792,5.01,3.31,0.95,0.3,0.693,,,4.54,4.21,,7.5,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,161,74,87,N,,N,N,False
1959,Yankees,1955,5980,153,687,651,45,0.076,0.138,0.142,0.28,0.26,0.319,0.402,0.32,101,2.2,8.9,56.5,24.4,79,75,28,377,155,1399.0,647,5.38,3.82,0.77,0.264,0.724,,,3.6,3.8,,12.1,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,155,79,75,,,N,N,False
1980,Reds,2063,6206,113,706,668,156,0.087,0.137,0.124,0.289,0.262,0.327,0.386,0.319,98,13.3,-2.2,41.0,24.4,89,73,37,425,163,1459.1,670,5.14,3.12,0.7,0.276,0.71,,,3.85,3.68,,13.5,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,163,89,73,N,,N,N,False
1971,Cardinals,2097,6300,95,739,686,124,0.086,0.12,0.11,0.3,0.275,0.338,0.385,0.327,105,6.7,38.3,-28.5,24.3,90,72,22,437,163,1467.0,699,5.59,3.53,0.64,0.291,0.716,,,3.87,3.39,,14.3,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,163,90,72,N,,N,N,False
2010,Phillies,2277,6291,166,772,736,108,0.089,0.169,0.153,0.292,0.26,0.332,0.413,0.327,99,13.3,5.5,33.5,24.3,97,65,40,613,162,1456.1,640,7.31,2.57,1.04,0.289,0.753,0.465,10.6 %,3.68,3.93,3.75,16.0,13107.0,1.0,8.0,2.0,11.0,-18.0,6.0,2309.0,1910.0,0.827,371.0,50.0,5.5,,20.0,2.6,6.8,-25.0,9.2,-6.5,0.6,0.0,NL,Phillies,162,97,65,Y,N,N,N,True
2000,Reds,2313,6373,200,825,794,100,0.088,0.156,0.173,0.299,0.274,0.343,0.447,0.341,94,3.3,-46.5,89.9,24.3,85,77,42,550,163,1456.1,765,6.27,4.07,1.17,0.282,0.735,,,4.33,4.88,,13.8,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,163,85,77,N,N,N,N,False
1993,Cardinals,2288,6279,118,758,724,153,0.094,0.14,0.123,0.302,0.272,0.341,0.395,0.329,99,2.1,-2.7,23.5,24.3,87,75,54,584,162,1453.0,744,4.8,2.37,0.94,0.289,0.699,,,4.1,4.16,,10.9,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,162,87,75,N,,N,N,False
2015,Diamondbacks,2393,6276,154,720,680,132,0.078,0.209,0.15,0.316,0.264,0.324,0.414,0.319,95,13.2,-20.8,53.8,24.3,79,83,44,712,162,1466.2,713,7.46,3.07,1.12,0.294,0.737,0.457,12.3 %,4.05,4.21,4.09,8.6,13200.0,-3.0,4.0,-2.0,8.0,69.0,69.0,2185.0,1798.0,0.823,594.0,,,,12.0,-4.8,0.9,25.1,2.5,23.8,2.3,19.8,NL,Diamondbacks,162,79,83,N,N,N,N,False
1928,Cubs,1664,6003,92,714,665,83,0.085,0.086,0.125,0.294,0.278,0.345,0.403,0.347,95,13.6,-28.1,84.3,24.3,91,63,14,276,154,1380.2,615,3.46,3.31,0.37,0.279,0.709,,,3.4,3.83,,17.8,,,,,,,,,,,,,,,,,,,,,,,NL,CHN,154,91,63,,,N,N,False
1972,Astros,1839,5936,134,708,660,111,0.088,0.153,0.135,0.286,0.258,0.326,0.393,0.326,106,3.7,42.4,-35.3,24.3,84,69,31,398,153,1385.1,636,6.31,3.24,0.74,0.287,0.722,,,3.77,3.23,,12.8,,,,,,,,,,,,,,,,,,,,,,,NL,Astros,153,84,69,N,,N,N,False
1923,Pirates,1621,5943,49,786,701,154,0.068,0.061,0.11,0.309,0.295,0.347,0.404,0.351,96,12.8,-14.7,54.8,24.3,87,67,9,253,154,1376.1,696,2.71,2.63,0.35,0.292,0.667,,,3.87,3.76,,17.4,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,154,87,67,,,N,N,False
1933,Pirates,1706,5961,39,667,618,34,0.061,0.056,0.098,0.298,0.285,0.333,0.384,0.333,103,5.7,24.8,35.4,24.2,87,67,12,298,154,1373.1,619,2.63,2.05,0.35,0.272,0.676,,,3.27,3.46,,15.5,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,154,87,67,,,N,N,False
1980,Astros,2130,6253,75,637,599,194,0.086,0.121,0.106,0.289,0.261,0.326,0.367,0.311,99,8.7,4.6,30.9,24.2,93,70,41,409,163,1482.2,589,5.64,2.83,0.42,0.278,0.72,,,3.11,3.1,,21.6,,,,,,,,,,,,,,,,,,,,,,,NL,Astros,163,93,70,Y,,N,N,True
1999,Phillies,2206,6386,161,841,797,125,0.099,0.169,0.156,0.313,0.275,0.351,0.431,0.343,96,9.3,-27.9,73.4,24.2,77,85,32,603,162,1438.1,846,6.44,3.92,1.33,0.29,0.708,,,4.93,5.05,,6.9,,,,,,,,,,,,,,,,,,,,,,,NL,Phillies,162,77,85,N,N,N,N,False
1969,Dodgers,1985,6162,97,642,584,80,0.079,0.133,0.105,0.282,0.254,0.315,0.359,0.305,95,-1.1,-39.4,56.5,24.2,85,77,31,352,162,1457.0,561,6.02,2.59,0.75,0.269,0.758,,,3.09,3.2,,14.6,,,,,,,,,,,,,,,,,,,,,,,NL,LAN,162,85,77,N,,N,N,False
2006,Yankees,2430,6455,210,930,902,139,0.101,0.163,0.177,0.315,0.285,0.363,0.461,0.356,113,7.4,118.9,-91.9,24.2,97,65,43,651,162,1443.2,767,6.35,3.09,1.06,0.289,0.703,0.433,9.6 %,4.43,4.42,4.61,17.3,12993.0,3.0,1.0,-8.0,3.0,-34.0,-39.0,2485.0,2040.0,0.821,304.0,,,,,-6.5,-1.5,-62.6,-9.4,-80.1,-11.8,-75.1,AL,NYA,162,97,65,Y,N,N,N,True
1966,Twins,1914,6032,144,663,611,67,0.085,0.14,0.133,0.269,0.249,0.316,0.382,0.308,96,0.5,-27.9,91.4,24.2,89,73,28,364,162,1438.2,581,6.35,2.45,0.87,0.256,0.737,,,3.13,3.27,,22.4,,,,,,,,,,,,,,,,,,,,,,,AL,Twins,162,89,73,,,N,N,False
1999,Red Sox,1862,6321,176,836,808,67,0.094,0.147,0.17,0.303,0.278,0.35,0.448,0.349,102,-4.1,8.2,23.0,24.2,94,68,50,574,162,1436.2,718,7.09,2.94,1.0,0.287,0.709,,,4.0,4.1,,23.5,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,162,94,68,N,Y,N,N,True
1949,Cardinals,1891,6149,102,765,720,17,0.093,0.078,0.127,0.289,0.277,0.348,0.404,0.353,99,2.1,-8.6,50.9,24.2,96,58,19,345,157,1407.2,615,3.87,3.24,0.56,0.268,0.721,,,3.45,3.59,,22.4,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,157,96,58,,,N,N,False
2002,Red Sox,2172,6332,177,859,810,80,0.086,0.149,0.168,0.302,0.277,0.345,0.444,0.343,107,-0.4,54.5,-28.8,24.2,93,69,51,500,162,1446.0,665,7.2,2.68,0.91,0.282,0.721,0.452,9.7 %,3.75,3.74,3.87,22.6,13014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,-14.5,-1.2,2.1,0.6,-13.0,-4.7,-13.0,AL,Red Sox,162,93,69,N,N,N,N,False
1977,Astros,2056,6201,114,680,638,187,0.083,0.135,0.131,0.28,0.254,0.32,0.385,0.313,96,12.5,-20.2,56.2,24.2,81,81,28,396,162,1465.2,650,5.35,3.35,0.68,0.274,0.724,,,3.54,3.69,,14.7,,,,,,,,,,,,,,,,,,,,,,,NL,Astros,162,81,81,N,,N,N,False
1971,Red Sox,1931,6107,161,691,650,51,0.09,0.143,0.145,0.272,0.252,0.322,0.397,0.326,98,-1.1,-16.9,52.6,24.1,85,77,35,409,162,1443.0,667,5.43,3.34,0.85,0.28,0.737,,,3.83,3.67,,16.4,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,162,85,77,N,,N,N,False
1951,Indians,1777,5935,140,693,658,52,0.102,0.106,0.133,0.27,0.257,0.337,0.39,0.339,101,0.7,10.4,37.6,24.1,93,61,19,290,155,1391.1,594,4.15,3.73,0.56,0.26,0.732,,,3.38,3.66,,15.5,,,,,,,,,,,,,,,,,,,,,,,AL,Indians,155,93,61,,,N,N,False
1950,Giants,1835,5972,133,734,683,42,0.105,0.105,0.134,0.272,0.258,0.342,0.392,0.341,93,6.6,-48.4,102.7,24.1,86,68,15,333,154,1375.0,643,3.9,3.51,0.92,0.251,0.727,,,3.71,4.28,,13.6,,,,,,,,,,,,,,,,,,,,,,,NL,NY1,154,86,68,,,N,N,False
1951,White Sox,1893,6120,86,714,668,99,0.097,0.086,0.114,0.287,0.27,0.349,0.385,0.343,99,-4.0,-9.0,50.8,24.1,81,73,14,305,155,1418.1,644,3.63,3.48,0.69,0.261,0.722,,,3.5,3.86,,15.4,,,,,,,,,,,,,,,,,,,,,,,AL,CHA,155,81,73,,,N,N,False
1970,Mets,2064,6275,120,695,640,118,0.109,0.169,0.12,0.287,0.249,0.333,0.37,0.318,91,4.2,-63.7,83.5,24.1,83,79,32,390,162,1459.2,630,6.56,3.55,0.83,0.26,0.736,,,3.46,3.62,,18.0,,,,,,,,,,,,,,,,,,,,,,,NL,NYN,162,83,79,N,,N,N,False
1991,Athletics,1810,6192,159,760,716,151,0.104,0.158,0.141,0.274,0.248,0.331,0.389,0.324,104,4.7,33.7,-0.6,24.1,84,78,49,559,162,1444.1,776,5.56,4.08,0.97,0.28,0.709,,,4.57,4.49,,5.2,,,,,,,,,,,,,,,,,,,,,,,AL,Athletics,162,84,78,N,,N,N,False
1924,Yankees,1703,5918,98,799,735,69,0.081,0.071,0.137,0.302,0.291,0.353,0.427,0.362,100,-0.6,1.2,34.5,24.1,89,63,13,265,153,1359.1,667,3.22,3.46,0.39,0.291,0.7,,,3.86,4.1,,12.9,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,153,89,63,,,N,N,False
1983,Yankees,1697,6279,153,770,728,84,0.085,0.109,0.143,0.286,0.273,0.337,0.416,0.337,111,-0.8,80.0,-57.6,24.1,91,71,32,364,162,1456.2,703,5.51,2.81,0.72,0.285,0.693,,,3.89,3.54,,22.1,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,162,91,71,N,,N,N,False
1934,Cardinals,1757,5986,104,799,748,69,0.065,0.089,0.137,0.304,0.288,0.337,0.425,0.348,100,11.3,8.9,42.3,24.0,95,58,16,300,154,1386.2,656,4.47,2.67,0.5,0.291,0.695,,,3.69,3.81,,19.4,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,154,95,58,,,Y,Y,False
2003,Twins,2269,6324,155,801,755,94,0.081,0.162,0.154,0.312,0.277,0.341,0.431,0.335,102,1.8,19.8,5.4,24.0,90,72,45,561,162,1461.2,758,6.14,2.48,1.15,0.29,0.711,0.386,10.4 %,4.41,4.26,4.38,16.8,13155.0,-2.0,-3.0,-1.0,0.0,-9.0,-5.0,2607.0,1929.0,0.74,337.0,,,,,-2.3,-7.7,23.0,10.1,23.2,1.3,23.2,AL,Twins,162,90,72,Y,N,N,N,True
2013,Reds,2286,6293,155,698,664,67,0.093,0.198,0.142,0.293,0.249,0.327,0.391,0.316,96,-0.7,-31.6,67.1,24.0,90,72,43,623,162,1473.2,589,7.91,2.66,1.04,0.273,0.775,0.441,11.5 %,3.38,3.81,3.68,17.0,13263.0,0.0,-6.0,-1.0,1.0,38.0,32.0,2140.0,1822.0,0.851,477.0,53.0,1.8,,18.0,2.0,-3.2,28.0,2.9,29.7,4.3,31.5,NL,Reds,162,90,72,N,Y,N,N,True
1919,Indians,1491,5325,24,634,547,113,0.094,0.069,0.103,0.298,0.278,0.354,0.381,0.352,103,-5.2,14.6,15.1,24.0,84,55,10,232,139,1245.0,539,3.12,2.62,0.14,0.289,0.682,,,2.93,2.94,,17.6,,,,,,,,,,,,,,,,,,,,,,,AL,Indians,139,84,55,,,N,N,False
